Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
[73]     0.2    0.04    0.00                 bool __gnu_cxx::operator!=<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&) [73]
-----------------------------------------------
                                                 <spontaneous>
[74]     0.2    0.04    0.00                 void std::__iter_swap<true>::iter_swap<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >) [74]
-----------------------------------------------
                                                 <spontaneous>
[75]     0.2    0.04    0.00                 void std::__iter_swap<true>::iter_swap<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >) [75]
-----------------------------------------------
                                                 <spontaneous>
[76]     0.2    0.04    0.00                 std::deque<unsigned long, std::allocator<unsigned long> >::push_back(unsigned long&&) [76]
-----------------------------------------------
                                                 <spontaneous>
[77]     0.2    0.04    0.00                 std::vector<unsigned long long, std::allocator<unsigned long long> >::resize(unsigned long, unsigned long long) [77]
-----------------------------------------------
                                                 <spontaneous>
[78]     0.2    0.04    0.00                 void std::__unguarded_insertion_sort<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >) [78]
-----------------------------------------------
                0.03    0.00      31/31          Scale_Array_To_Range [52]
[79]     0.1    0.03    0.00      31         Array_Range [79]
                0.00    0.00      31/93          AForm_Array [220]
                0.00    0.00      31/62          AForm_Size [221]
                0.00    0.00      31/186         AForm_Class [217]
-----------------------------------------------
                                                 <spontaneous>
[80]     0.1    0.03    0.00                 fromXMLString(char const*, int, XML*) [80]
-----------------------------------------------
                                                 <spontaneous>
[81]     0.1    0.03    0.00                 GetNextToken(XML*, int*, XMLTokenTypeTag*) [81]
-----------------------------------------------
                                                 <spontaneous>
[82]     0.1    0.03    0.00                 std::deque<int, std::allocator<int> >::empty() const [82]
-----------------------------------------------
                                                 <spontaneous>
[83]     0.1    0.03    0.00                 std::deque<int, std::allocator<int> >::begin() [83]
-----------------------------------------------
                                                 <spontaneous>
[84]     0.1    0.03    0.00                 std::queue<int, std::deque<int, std::allocator<int> > >::front() [84]
-----------------------------------------------
                                                 <spontaneous>
[85]     0.1    0.03    0.00                 std::vector<float, std::allocator<float> >::operator[](unsigned long) [85]
-----------------------------------------------
                                                 <spontaneous>
[86]     0.1    0.03    0.00                 void std::__pop_heap<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >) [86]
-----------------------------------------------
                                                 <spontaneous>
[87]     0.1    0.03    0.00                 float const& std::min<float>(float const&, float const&) [87]
-----------------------------------------------
                                                 <spontaneous>
[88]     0.1    0.03    0.00                 bool std::operator==<int, int&, int*>(std::_Deque_iterator<int, int&, int*> const&, std::_Deque_iterator<int, int&, int*> const&) [88]
-----------------------------------------------
                                                 <spontaneous>
[89]     0.1    0.03    0.00                 std::remove_reference<float&>::type&& std::move<float&>(float&&&) [89]
-----------------------------------------------
                0.02    0.00 2891361/2891361     Make_Array [43]
[90]     0.1    0.02    0.00 2891361         array_dsize [90]
-----------------------------------------------
                0.02    0.00 2891361/2891361     make_start [71]
[91]     0.1    0.02    0.00 2891361         new_array [91]
                0.00    0.00 2891361/2891392     allocate_array_dims [179]
                0.00    0.00 2891361/5782753     allocate_array_data [178]
                0.00    0.00 2891361/2891392     allocate_array_text [180]
                0.00    0.00      33/223         Guarded_Realloc [216]
-----------------------------------------------
                0.01    0.01 2891330/2891330     main [10]
[92]     0.1    0.01    0.01 2891330         Free_Array [92]
                0.01    0.00 2891330/2891330     free_array [105]
-----------------------------------------------
                0.00    0.02      31/31          main [10]
[93]     0.1    0.00    0.02      31         Convert_Array_Inplace [93]
                0.00    0.02      31/31          convert_array [94]
-----------------------------------------------
                0.00    0.02      31/31          Convert_Array_Inplace [93]
[94]     0.1    0.00    0.02      31         convert_array [94]
                0.02    0.00      31/31          translate [95]
                0.00    0.00      31/5782753     allocate_array_data [178]
                0.00    0.00      31/2891392     allocate_array_dims [179]
-----------------------------------------------
                0.02    0.00      31/31          convert_array [94]
[95]     0.1    0.02    0.00      31         translate [95]
-----------------------------------------------
                                                 <spontaneous>
[96]     0.1    0.02    0.00                 supervoxel::isNeighboring(supervoxel const&, int, long long*) [96]
-----------------------------------------------
                                                 <spontaneous>
[97]     0.1    0.02    0.00                 unsigned short supervoxel::intensityThreshold<unsigned short>(int, float, unsigned int*, bool) [97]
-----------------------------------------------
                                                 <spontaneous>
[98]     0.1    0.02    0.00                 bool __gnu_cxx::operator==<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&) [98]
-----------------------------------------------
                                                 <spontaneous>
[99]     0.1    0.02    0.00                 bool __gnu_cxx::operator==<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&) [99]
-----------------------------------------------
                                                 <spontaneous>
[100]    0.1    0.02    0.00                 bool __gnu_cxx::operator!=<treeStump const*, std::vector<treeStump, std::allocator<treeStump> > >(__gnu_cxx::__normal_iterator<treeStump const*, std::vector<treeStump, std::allocator<treeStump> > > const&, __gnu_cxx::__normal_iterator<treeStump const*, std::vector<treeStump, std::allocator<treeStump> > > const&) [100]
-----------------------------------------------
                                                 <spontaneous>
[101]    0.1    0.02    0.00                 std::vector<unsigned long long, std::allocator<unsigned long long> >::begin() const [101]
-----------------------------------------------
                                                 <spontaneous>
[102]    0.1    0.02    0.00                 __gnu_cxx::__enable_if<std::__is_scalar<float>::__value, float*>::__type std::__fill_n_a<float*, unsigned long, float>(float*, unsigned long, float const&) [102]
-----------------------------------------------
                                                 <spontaneous>
[103]    0.1    0.02    0.00                 void std::__introsort_loop<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, long>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, long) [103]
-----------------------------------------------
                                                 <spontaneous>
[104]    0.1    0.02    0.00                 XMLNode::getAttribute(char const*, int*) const [104]
-----------------------------------------------
                0.01    0.00 2891330/2891330     Free_Array [92]
[105]    0.0    0.01    0.00 2891330         free_array [105]
-----------------------------------------------
                                                 <spontaneous>
[106]    0.0    0.01    0.00                 int parseString<double>(std::string const&, std::vector<double, std::allocator<double> >&) [106]
-----------------------------------------------
                                                 <spontaneous>
[107]    0.0    0.01    0.00                 boostingTreeClassifier(float*, float*, std::vector<std::vector<treeStump, std::allocator<treeStump> >, std::allocator<std::vector<treeStump, std::allocator<treeStump> > > >&, unsigned long long, unsigned long long) [107]
-----------------------------------------------
                                                 <spontaneous>
[108]    0.0    0.01    0.00                 getNextChar(XML*) [108]
-----------------------------------------------
                                                 <spontaneous>
[109]    0.0    0.01    0.00                 supervoxel::getCoordinates(unsigned long long, unsigned long long*) [109]
-----------------------------------------------
                                                 <spontaneous>
[110]    0.0    0.01    0.00                 supervoxel::mergeSupervoxels(std::vector<supervoxel*, std::allocator<supervoxel*> >&) [110]
-----------------------------------------------
                                                 <spontaneous>
[111]    0.0    0.01    0.00                 Eigen::DenseStorage<double, 9, 3, 3, 0>::data() [111]
-----------------------------------------------
                                                 <spontaneous>
[112]    0.0    0.01    0.00                 void Eigen::DenseCoeffsBase<Eigen::Matrix<double, 6, 6, 0, 6, 6>, 1>::copyCoeffByOuterInner<Eigen::CwiseNullaryOp<Eigen::internal::scalar_identity_op<double>, Eigen::Matrix<double, 6, 6, 0, 6, 6> > >(long, long, Eigen::DenseBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_identity_op<double>, Eigen::Matrix<double, 6, 6, 0, 6, 6> > > const&) [112]
-----------------------------------------------
                                                 <spontaneous>
[113]    0.0    0.01    0.00                 Eigen::MapBase<Eigen::Block<Eigen::Matrix<double, 3, 3, 0, 3, 3>, 3, 1, true, true>, 1>::coeffRef(long) [113]
-----------------------------------------------
                                                 <spontaneous>
[114]    0.0    0.01    0.00                 Eigen::EigenBase<Eigen::Matrix<double, 3, 3, 0, 3, 3> >::derived() [114]
-----------------------------------------------
                                                 <spontaneous>
[115]    0.0    0.01    0.00                 __gnu_cxx::new_allocator<int>::construct(int*, int const&) [115]
-----------------------------------------------
                                                 <spontaneous>
[116]    0.0    0.01    0.00                 __gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator++() [116]
-----------------------------------------------
                                                 <spontaneous>
[117]    0.0    0.01    0.00                 __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::__normal_iterator(float* const&) [117]
-----------------------------------------------
                                                 <spontaneous>
[118]    0.0    0.01    0.00                 __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::__normal_iterator() [118]
-----------------------------------------------
                                                 <spontaneous>
[119]    0.0    0.01    0.00                 bool __gnu_cxx::operator!=<unsigned long long const*, unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >(__gnu_cxx::__normal_iterator<unsigned long long const*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > const&) [119]
-----------------------------------------------
                                                 <spontaneous>
[120]    0.0    0.01    0.00                 bool __gnu_cxx::operator!=<char*, std::string>(__gnu_cxx::__normal_iterator<char*, std::string> const&, __gnu_cxx::__normal_iterator<char*, std::string> const&) [120]
-----------------------------------------------
                                                 <spontaneous>
[121]    0.0    0.01    0.00                 Eigen::DenseCoeffsBase<Eigen::CwiseUnaryOp<Eigen::internal::scalar_abs_op<double>, Eigen::Matrix<double, 3, 3, 0, 3, 3> const>, 0>::coeffByOuterInner(long, long) const [121]
-----------------------------------------------
                                                 <spontaneous>
[122]    0.0    0.01    0.00                 Eigen::PlainObjectBase<Eigen::Matrix<double, 3, 3, 0, 3, 3> >::cols() const [122]
-----------------------------------------------
                                                 <spontaneous>
[123]    0.0    0.01    0.00                 Eigen::Block<Eigen::Matrix<double, 3, 3, 0, 3, 3> const, 3, 1, true, true>::outerStride() const [123]
-----------------------------------------------
                                                 <spontaneous>
[124]    0.0    0.01    0.00                 Eigen::MapBase<Eigen::Block<Eigen::Matrix<double, 3, 3, 0, 3, 3> const, 3, 1, true, true>, 0>::coeff(long, long) const [124]
-----------------------------------------------
                                                 <spontaneous>
[125]    0.0    0.01    0.00                 Eigen::EigenBase<Eigen::Matrix<double, 3, 1, 0, 3, 1> >::rows() const [125]
-----------------------------------------------
                                                 <spontaneous>
[126]    0.0    0.01    0.00                 Eigen::EigenBase<Eigen::Matrix<double, 3, 3, 0, 3, 3> >::derived() const [126]
-----------------------------------------------
                                                 <spontaneous>
[127]    0.0    0.01    0.00                 XMLNode::nChildNode(char const*) const [127]
-----------------------------------------------
                                                 <spontaneous>
[128]    0.0    0.01    0.00                 TreeNode<std::_List_iterator<nucleus> >::getNumChildren() const [128]
-----------------------------------------------
                                                 <spontaneous>
[129]    0.0    0.01    0.00                 __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::operator-(long const&) const [129]
-----------------------------------------------
                                                 <spontaneous>
[130]    0.0    0.01    0.00                 __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >::operator-(long const&) const [130]
-----------------------------------------------
                                                 <spontaneous>
[131]    0.0    0.01    0.00                 std::_List_iterator<supervoxel>::operator*() const [131]
-----------------------------------------------
                                                 <spontaneous>
[132]    0.0    0.01    0.00                 std::_List_iterator<nucleus>::operator->() const [132]
-----------------------------------------------
                                                 <spontaneous>
[133]    0.0    0.01    0.00                 std::_Deque_iterator<int, int&, int*>::operator*() const [133]
-----------------------------------------------
                                                 <spontaneous>
[134]    0.0    0.01    0.00                 std::vector<supervoxel*, std::allocator<supervoxel*> >::size() const [134]
-----------------------------------------------
                                                 <spontaneous>
[135]    0.0    0.01    0.00                 std::vector<std::_List_iterator<supervoxel>, std::allocator<std::_List_iterator<supervoxel> > >::max_size() const [135]
-----------------------------------------------
                                                 <spontaneous>
[136]    0.0    0.01    0.00                 std::vector<unsigned long long, std::allocator<unsigned long long> >::empty() const [136]
-----------------------------------------------
                                                 <spontaneous>
[137]    0.0    0.01    0.00                 std::_Vector_base<char, std::allocator<char> >::_Vector_impl::_Vector_impl() [137]
-----------------------------------------------
                                                 <spontaneous>
[138]    0.0    0.01    0.00                 std::_List_iterator<supervoxel>::_List_iterator(std::_List_node_base*) [138]
-----------------------------------------------
                                                 <spontaneous>
[139]    0.0    0.01    0.00                 std::_List_const_iterator<supervoxel>::operator++() [139]
-----------------------------------------------
                                                 <spontaneous>
[140]    0.0    0.01    0.00                 void std::__uninitialized_fill_n<false>::uninitialized_fill_n<std::_List_iterator<nucleus>*, unsigned long, std::_List_iterator<nucleus> >(std::_List_iterator<nucleus>*, unsigned long, std::_List_iterator<nucleus> const&) [140]
-----------------------------------------------
                                                 <spontaneous>
[141]    0.0    0.01    0.00                 std::queue<int, std::deque<int, std::allocator<int> > >::push(int const&) [141]
-----------------------------------------------
                                                 <spontaneous>
[142]    0.0    0.01    0.00                 std::queue<int, std::deque<int, std::allocator<int> > >::queue(std::deque<int, std::allocator<int> > const&) [142]
-----------------------------------------------
                                                 <spontaneous>
[143]    0.0    0.01    0.00                 std::queue<unsigned long, std::deque<unsigned long, std::allocator<unsigned long> > >::push(unsigned long&&) [143]
-----------------------------------------------
                                                 <spontaneous>
[144]    0.0    0.01    0.00                 std::vector<supervoxel, std::allocator<supervoxel> >::operator[](unsigned long) [144]
-----------------------------------------------
                                                 <spontaneous>
[145]    0.0    0.01    0.00                 std::vector<treeStump, std::allocator<treeStump> >::vector(unsigned long, treeStump const&, std::allocator<treeStump> const&) [145]
-----------------------------------------------
                                                 <spontaneous>
[146]    0.0    0.01    0.00                 std::vector<treeStump, std::allocator<treeStump> >::operator[](unsigned long) [146]
-----------------------------------------------
                                                 <spontaneous>
[147]    0.0    0.01    0.00                 std::vector<GaussianMixtureModel*, std::allocator<GaussianMixtureModel*> >::_M_fill_insert(__gnu_cxx::__normal_iterator<GaussianMixtureModel**, std::vector<GaussianMixtureModel*, std::allocator<GaussianMixtureModel*> > >, unsigned long, GaussianMixtureModel* const&) [147]
-----------------------------------------------
                                                 <spontaneous>
[148]    0.0    0.01    0.00                 std::vector<std::vector<std::_List_iterator<supervoxel>, std::allocator<std::_List_iterator<supervoxel> > >, std::allocator<std::vector<std::_List_iterator<supervoxel>, std::allocator<std::_List_iterator<supervoxel> > > > >::operator[](unsigned long) [148]
-----------------------------------------------
                                                 <spontaneous>
[149]    0.0    0.01    0.00                 void std::vector<float, std::allocator<float> >::_M_insert_aux<float const&>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float const&&&) [149]
-----------------------------------------------
                                                 <spontaneous>
[150]    0.0    0.01    0.00                 std::vector<unsigned long long, std::allocator<unsigned long long> >::clear() [150]
-----------------------------------------------
                                                 <spontaneous>
[151]    0.0    0.01    0.00                 void std::__pop_heap<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >) [151]
-----------------------------------------------
                                                 <spontaneous>
[152]    0.0    0.01    0.00                 __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > std::copy_backward<__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > > >(__gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >, __gnu_cxx::__normal_iterator<unsigned long long*, std::vector<unsigned long long, std::allocator<unsigned long long> > >) [152]
-----------------------------------------------
                                                 <spontaneous>
[153]    0.0    0.01    0.00                 std::__deque_buf_size(unsigned long) [153]
-----------------------------------------------
                                                 <spontaneous>
[154]    0.0    0.01    0.00                 std::move_iterator<double*> std::make_move_iterator<double*>(double* const&) [154]
-----------------------------------------------
                                                 <spontaneous>
[155]    0.0    0.01    0.00                 float const& std::max<float>(float const&, float const&) [155]
-----------------------------------------------
                                                 <spontaneous>
[156]    0.0    0.01    0.00                 unsigned long long* std::fill_n<unsigned long long*, unsigned long, unsigned long long>(unsigned long long*, unsigned long, unsigned long long const&) [156]
-----------------------------------------------
                                                 <spontaneous>
[157]    0.0    0.01    0.00                 float const& std::__median<float>(float const&, float const&, float const&) [157]
-----------------------------------------------
                                                 <spontaneous>
[158]    0.0    0.01    0.00                 unsigned long long const& std::__median<unsigned long long>(unsigned long long const&, unsigned long long const&, unsigned long long const&) [158]
-----------------------------------------------
                                                 <spontaneous>
[159]    0.0    0.01    0.00                 void std::sort_heap<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >) [159]
-----------------------------------------------
                                                 <spontaneous>
[160]    0.0    0.01    0.00                 __gnu_cxx::__normal_iterator<char*, std::string> std::transform<__gnu_cxx::__normal_iterator<char*, std::string>, __gnu_cxx::__normal_iterator<char*, std::string>, int (*)(int)>(__gnu_cxx::__normal_iterator<char*, std::string>, __gnu_cxx::__normal_iterator<char*, std::string>, __gnu_cxx::__normal_iterator<char*, std::string>, int (*)(int)) [160]
-----------------------------------------------
                                                 <spontaneous>
[161]    0.0    0.01    0.00                 bool std::operator==<std::_List_iterator<supervoxel>*, std::_List_iterator<supervoxel>*>(std::move_iterator<std::_List_iterator<supervoxel>*> const&, std::move_iterator<std::_List_iterator<supervoxel>*> const&) [161]
-----------------------------------------------
                                                 <spontaneous>
[162]    0.0    0.01    0.00                 Eigen::DenseCoeffsBase<Eigen::ReturnByValue<Eigen::internal::inverse_impl<Eigen::Matrix<double, 3, 3, 0, 3, 3> > >, 1>::DenseCoeffsBase() [162]
-----------------------------------------------
                                                 <spontaneous>
[163]    0.0    0.01    0.00                 Eigen::DenseCoeffsBase<Eigen::Matrix<double, 3, 1, 0, 3, 1>, 1>::operator()(long) [163]
-----------------------------------------------
                                                 <spontaneous>
[164]    0.0    0.01    0.00                 Eigen::DenseCoeffsBase<Eigen::Matrix<double, 3, 1, 0, 3, 1>, 1>::operator[](long) [164]
-----------------------------------------------
                                                 <spontaneous>
[165]    0.0    0.01    0.00                 Eigen::internal::special_scalar_op_base<Eigen::ReturnByValue<Eigen::internal::inverse_impl<Eigen::Matrix<double, 3, 3, 0, 3, 3> > >, double, double, false>::special_scalar_op_base() [165]
-----------------------------------------------
                                                 <spontaneous>
[166]    0.0    0.01    0.00                 __gnu_cxx::new_allocator<std::_List_iterator<supervoxel> >::allocate(unsigned long, void const*) [166]
-----------------------------------------------
                                                 <spontaneous>
[167]    0.0    0.01    0.00                 XMLNode::getChildNodeWithAttribute(char const*, char const*, char const*, int*) const [167]
-----------------------------------------------
                                                 <spontaneous>
[168]    0.0    0.01    0.00                 __gnu_cxx::new_allocator<float>::max_size() const [168]
-----------------------------------------------
                                                 <spontaneous>
[169]    0.0    0.01    0.00                 std::_Vector_base<float, std::allocator<float> >::_M_get_Tp_allocator() const [169]
-----------------------------------------------
                                                 <spontaneous>
[170]    0.0    0.01    0.00                 std::vector<unsigned long long, std::allocator<unsigned long long> >::_M_check_len(unsigned long, char const*) const [170]
-----------------------------------------------
                                                 <spontaneous>
[171]    0.0    0.01    0.00                 std::__niter_base<__gnu_cxx::__normal_iterator<hierarchicalSegmentation**, std::vector<hierarchicalSegmentation*, std::allocator<hierarchicalSegmentation*> > >, true>::__b(__gnu_cxx::__normal_iterator<hierarchicalSegmentation**, std::vector<hierarchicalSegmentation*, std::allocator<hierarchicalSegmentation*> > >) [171]
-----------------------------------------------
                                                 <spontaneous>
[172]    0.0    0.01    0.00                 std::_List_iterator<lineage>::operator--() [172]
-----------------------------------------------
                                                 <spontaneous>
[173]    0.0    0.01    0.00                 void std::vector<float, std::allocator<float> >::_M_insert_aux<float>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, float&&) [173]
-----------------------------------------------
                                                 <spontaneous>
[174]    0.0    0.01    0.00                 std::move_iterator<std::_List_iterator<supervoxel>*> std::make_move_iterator<std::_List_iterator<supervoxel>*>(std::_List_iterator<supervoxel>* const&) [174]
-----------------------------------------------
                0.00    0.00      31/31          main [10]
[175]    0.0    0.00    0.00      31         Read_Image [175]
                0.00    0.00      31/31          read_array [176]
-----------------------------------------------
                0.00    0.00      31/31          Read_Image [175]
[176]    0.0    0.00    0.00      31         read_array [176]
                0.00    0.00      31/31          read_tiff [177]
                0.00    0.00      31/31          image_depth [228]
-----------------------------------------------
                0.00    0.00      31/31          read_array [176]
[177]    0.0    0.00    0.00      31         read_tiff [177]
                0.00    0.00      31/2891361     Make_Array [43]
                0.00    0.00     930/930         image_reader [202]
                0.00    0.00     930/930         determine_kind [201]
                0.00    0.00     899/1798        Read_Tiff_IFD [194]
                0.00    0.00     899/899         Get_Tiff_Image [206]
                0.00    0.00     899/899         determine_type [211]
                0.00    0.00     899/25172       Get_Tiff_Tag [182]
                0.00    0.00     899/899         Load_Tiff_Image_Planes [208]
                0.00    0.00     899/899         Free_Tiff_Image [204]
                0.00    0.00     899/2697        Free_Tiff_IFD [187]
                0.00    0.00      31/31          Set_Array_Text [227]
-----------------------------------------------
                0.00    0.00      31/5782753     convert_array [94]
                0.00    0.00 2891361/5782753     new_array [91]
                0.00    0.00 2891361/5782753     Make_Array [43]
[178]    0.0    0.00    0.00 5782753         allocate_array_data [178]
                0.00    0.00      94/223         Guarded_Realloc [216]
-----------------------------------------------
                0.00    0.00      31/2891392     convert_array [94]
                0.00    0.00 2891361/2891392     new_array [91]
[179]    0.0    0.00    0.00 2891392         allocate_array_dims [179]
                0.00    0.00      63/223         Guarded_Realloc [216]
-----------------------------------------------
                0.00    0.00      31/2891392     Set_Array_Text [227]
                0.00    0.00 2891361/2891392     new_array [91]
[180]    0.0    0.00    0.00 2891392         allocate_array_text [180]
                0.00    0.00      33/223         Guarded_Realloc [216]
-----------------------------------------------
                0.00    0.00 2891361/2891361     make_shape [61]
[181]    0.0    0.00    0.00 2891361         array_size [181]
-----------------------------------------------
                0.00    0.00     899/25172       read_tiff [177]
                0.00    0.00     899/25172       image_depth [228]
                0.00    0.00    1798/25172       extract_shape [197]
                0.00    0.00    2697/25172       Get_Tiff_Image [206]
                0.00    0.00    3596/25172       extract_image_tags [196]
                0.00    0.00   15283/25172       get_integer_tag [183]
[182]    0.0    0.00    0.00   25172         Get_Tiff_Tag [182]
                0.00    0.00    6293/6293        Grab_Message_8qm5 [185]
-----------------------------------------------
                0.00    0.00     899/15283       Get_Tiff_Image [206]
                0.00    0.00    7192/15283       extract_shape [197]
                0.00    0.00    7192/15283       extract_image_tags [196]
[183]    0.0    0.00    0.00   15283         get_integer_tag [183]
                0.00    0.00   15283/25172       Get_Tiff_Tag [182]
-----------------------------------------------
                0.00    0.00    8990/8990        Read_Tiff_IFD [194]
[184]    0.0    0.00    0.00    8990         optseek [184]
-----------------------------------------------
                0.00    0.00    6293/6293        Get_Tiff_Tag [182]
[185]    0.0    0.00    0.00    6293         Grab_Message_8qm5 [185]
-----------------------------------------------
                0.00    0.00    1798/3596        new_tifd [198]
                0.00    0.00    1798/3596        Read_Tiff_IFD [194]
[186]    0.0    0.00    0.00    3596         allocate_tifd_values [186]
                0.00    0.00       1/4           Guarded_Realloc [229]
-----------------------------------------------
                0.00    0.00     899/2697        read_tiff [177]
                0.00    0.00     899/2697        image_depth [228]
                0.00    0.00     899/2697        free_timage [213]
[187]    0.0    0.00    0.00    2697         Free_Tiff_IFD [187]
                0.00    0.00    2697/2697        free_tifd [188]
-----------------------------------------------
                0.00    0.00    2697/2697        Free_Tiff_IFD [187]
[188]    0.0    0.00    0.00    2697         free_tifd [188]
                0.00    0.00    1798/1860        Free_Tiff_Reader [189]
-----------------------------------------------
                0.00    0.00      31/1860        image_depth [228]
                0.00    0.00      31/1860        image_reader [202]
                0.00    0.00    1798/1860        free_tifd [188]
[189]    0.0    0.00    0.00    1860         Free_Tiff_Reader [189]
                0.00    0.00    1860/1860        Tiff_Reader_Refcount [190]
                0.00    0.00    1860/1860        free_treader [191]
-----------------------------------------------
                0.00    0.00    1860/1860        Free_Tiff_Reader [189]
[190]    0.0    0.00    0.00    1860         Tiff_Reader_Refcount [190]
-----------------------------------------------
                0.00    0.00    1860/1860        Free_Tiff_Reader [189]
[191]    0.0    0.00    0.00    1860         free_treader [191]
-----------------------------------------------
                0.00    0.00    1798/1798        Load_Tiff_Image_Planes [208]
[192]    0.0    0.00    0.00    1798         Get_Tiff_IFD_Stream [192]
-----------------------------------------------
                0.00    0.00    1798/1798        Read_Tiff_IFD [194]
[193]    0.0    0.00    0.00    1798         Inc_Tiff_Reader [193]
-----------------------------------------------
                0.00    0.00     899/1798        read_tiff [177]
                0.00    0.00     899/1798        image_depth [228]
[194]    0.0    0.00    0.00    1798         Read_Tiff_IFD [194]
                0.00    0.00    8990/8990        optseek [184]
                0.00    0.00    1798/1798        new_tifd [198]
                0.00    0.00    1798/1798        Inc_Tiff_Reader [193]
                0.00    0.00    1798/3596        allocate_tifd_values [186]
-----------------------------------------------
                0.00    0.00    1798/1798        new_tifd [198]
[195]    0.0    0.00    0.00    1798         allocate_tifd_tags [195]
                0.00    0.00       1/4           Guarded_Realloc [229]
-----------------------------------------------
                0.00    0.00     899/1798        Get_Tiff_Image [206]
                0.00    0.00     899/1798        Load_Tiff_Image_Planes [208]
[196]    0.0    0.00    0.00    1798         extract_image_tags [196]
                0.00    0.00    7192/15283       get_integer_tag [183]
                0.00    0.00    3596/25172       Get_Tiff_Tag [182]
-----------------------------------------------
                0.00    0.00     899/1798        Get_Tiff_Image [206]
                0.00    0.00     899/1798        Load_Tiff_Image_Planes [208]
