Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.10     19.81     0.02                             std::vector<unsigned long long, std::allocator<unsigned long long> >::begin() const
  0.10     19.83     0.02                             __gnu_cxx::__enable_if<std::__is_scalar<float>::__value, float*>::__type std::__fill_n_a<float*, unsigned long, float>(float*, unsigned long, float const&)
  0.10     19.85     0.02                             void std::__introsort_loop<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, long>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, long)
  0.07     19.86     0.02  2891361     0.00     0.00  Make_Array
  0.07     19.88     0.02                             XMLNode::getAttribute(char const*, int*) const
  0.05     19.89     0.01  2891330     0.00     0.00  Free_Array
  0.05     19.90     0.01  2891330     0.00     0.00  free_array
  0.05     19.91     0.01                             int parseString<double>(std::string const&, std::vector<double, std::allocator<double> >&)
  0.05     19.92     0.01                             boostingTreeClassifier(float*, float*, std::vector<std::vector<treeStump, std::allocator<treeStump> >, std::allocator<std::vector<treeStump, std::allocator<treeStump> > > >&, unsigned long long, unsigned long long)
  0.05     19.93     0.01                             getNextChar(XML*)
  0.05     19.94     0.01                             supervoxel::getCoordinates(unsigned long long, unsigned long long*)
  0.05     19.95     0.01                             supervoxel::mergeSupervoxels(std::vector<supervoxel*, std::allocator<supervoxel*> >&)
  0.05     19.96     0.01                             Eigen::DenseStorage<double, 9, 3, 3, 0>::data()
  0.05     19.97     0.01                             void Eigen::DenseCoeffsBase<Eigen::Matrix<double, 6, 6, 0, 6, 6>, 1>::copyCoeffByOuterInner<Eigen::CwiseNullaryOp<Eigen::internal::scalar_identity_op<double>, Eigen::Matrix<double, 6, 6, 0, 6, 6> > >(long, long, Eigen::DenseBase<Eigen::CwiseNullaryOp<Eigen::internal::scalar_identity_op<double>, Eigen::Matrix<double, 6, 6, 0, 6, 6> > > const&)
  0.05     19.98     0.01                             Eigen::MapBase<Eigen::Block<Eigen::Matrix<double, 3, 3, 0, 3, 3>, 3, 1, true, true>, 1>::coeffRef(long)
  0.05     19.99     0.01                             Eigen::EigenBase<Eigen::Matrix<double, 3, 3, 0, 3, 3> >::derived()
  0.05     20.00     0.01                             __gnu_cxx::new_allocator<int>::construct(int*, int const&)
